Job started on u040233.si.ehu.es
Date: Sun May 10 03:24:43 AM CEST 2026
CUDA_VISIBLE_DEVICES=5
trainable params: 4,718,592 || all params: 619,792,384 || trainable%: 0.7613
{'loss': 2.954, 'grad_norm': 0.385534405708313, 'learning_rate': 3.9683892225373776e-05, 'epoch': 1.08}
{'loss': 2.8887, 'grad_norm': 0.3727310299873352, 'learning_rate': 3.8098372472823316e-05, 'epoch': 1.09}
{'eval_loss': 2.1331160068511963, 'eval_chrf++': 43.8902, 'eval_runtime': 146.6114, 'eval_samples_per_second': 6.8, 'eval_steps_per_second': 0.853, 'epoch': 1.09}
{'loss': 2.9095, 'grad_norm': 0.3736552596092224, 'learning_rate': 3.653768984480457e-05, 'epoch': 1.1}
{'loss': 2.9333, 'grad_norm': 0.3947661519050598, 'learning_rate': 3.5002470542442366e-05, 'epoch': 1.11}
{'loss': 2.9496, 'grad_norm': 0.3711564540863037, 'learning_rate': 3.3493330550073776e-05, 'epoch': 1.12}
{'loss': 2.9123, 'grad_norm': 0.3890763819217682, 'learning_rate': 3.201087538809344e-05, 'epoch': 1.13}
{'loss': 2.9168, 'grad_norm': 0.3446759879589081, 'learning_rate': 3.0555699869997176e-05, 'epoch': 1.14}
{'loss': 2.8786, 'grad_norm': 0.4190391004085541, 'learning_rate': 2.9128387863721975e-05, 'epoch': 1.14}
{'loss': 2.8927, 'grad_norm': 0.35588058829307556, 'learning_rate': 2.772951205737735e-05, 'epoch': 1.15}
{'loss': 2.9288, 'grad_norm': 0.3431549668312073, 'learning_rate': 2.6359633729462695e-05, 'epoch': 1.16}
{'loss': 2.9229, 'grad_norm': 0.3604466915130615, 'learning_rate': 2.5019302523662404e-05, 'epoch': 1.17}
{'loss': 2.9025, 'grad_norm': 0.34887322783470154, 'learning_rate': 2.3709056228309345e-05, 'epoch': 1.18}
{'eval_loss': 2.1327669620513916, 'eval_chrf++': 43.6832, 'eval_runtime': 114.8267, 'eval_samples_per_second': 8.683, 'eval_steps_per_second': 1.089, 'epoch': 1.18}
{'loss': 2.9035, 'grad_norm': 0.36718735098838806, 'learning_rate': 2.242942056060524e-05, 'epoch': 1.19}
{'loss': 2.9488, 'grad_norm': 0.3365665674209595, 'learning_rate': 2.1180908955684263e-05, 'epoch': 1.2}
{'loss': 2.9506, 'grad_norm': 0.37150463461875916, 'learning_rate': 1.996402236060465e-05, 'epoch': 1.21}
{'loss': 2.9173, 'grad_norm': 0.3602674603462219, 'learning_rate': 1.8779249033351088e-05, 'epoch': 1.22}
{'loss': 2.9548, 'grad_norm': 0.3924819529056549, 'learning_rate': 1.762706434692818e-05, 'epoch': 1.23}
{'loss': 2.8997, 'grad_norm': 0.34449759125709534, 'learning_rate': 1.6507930598624134e-05, 'epoch': 1.24}
{'loss': 2.8831, 'grad_norm': 0.3891858160495758, 'learning_rate': 1.5422296824520633e-05, 'epoch': 1.24}
{'loss': 2.9143, 'grad_norm': 0.3710181713104248, 'learning_rate': 1.4370598619323705e-05, 'epoch': 1.25}
{'loss': 2.9058, 'grad_norm': 0.36184588074684143, 'learning_rate': 1.3353257961587572e-05, 'epoch': 1.26}
{'loss': 2.9321, 'grad_norm': 0.40437600016593933, 'learning_rate': 1.2370683044402131e-05, 'epoch': 1.27}
{'eval_loss': 2.128969430923462, 'eval_chrf++': 42.7617, 'eval_runtime': 119.1866, 'eval_samples_per_second': 8.365, 'eval_steps_per_second': 1.049, 'epoch': 1.27}
{'loss': 2.9151, 'grad_norm': 0.34410908818244934, 'learning_rate': 1.1423268111611274e-05, 'epoch': 1.28}
{'loss': 2.8936, 'grad_norm': 0.357207715511322, 'learning_rate': 1.0511393299628359e-05, 'epoch': 1.29}
{'loss': 2.9366, 'grad_norm': 0.377820760011673, 'learning_rate': 9.635424484912015e-06, 'epoch': 1.3}
{'loss': 2.9458, 'grad_norm': 0.36170315742492676, 'learning_rate': 8.795713137163508e-06, 'epoch': 1.31}
{'loss': 2.9006, 'grad_norm': 0.40034154057502747, 'learning_rate': 7.992596178304756e-06, 'epoch': 1.32}
{'loss': 2.923, 'grad_norm': 0.3578025996685028, 'learning_rate': 7.2263958472932435e-06, 'epoch': 1.33}
{'loss': 2.9258, 'grad_norm': 0.3741551339626312, 'learning_rate': 6.497419570828356e-06, 'epoch': 1.34}
{'loss': 2.9065, 'grad_norm': 0.32431694865226746, 'learning_rate': 5.805959840000918e-06, 'epoch': 1.34}
{'loss': 2.9186, 'grad_norm': 0.35600242018699646, 'learning_rate': 5.1522940929353945e-06, 'epoch': 1.35}
{'loss': 2.9125, 'grad_norm': 0.3452339768409729, 'learning_rate': 4.53668460347193e-06, 'epoch': 1.36}
{'eval_loss': 2.1243786811828613, 'eval_chrf++': 42.9884, 'eval_runtime': 117.5017, 'eval_samples_per_second': 8.485, 'eval_steps_per_second': 1.064, 'epoch': 1.36}
{'loss': 2.9075, 'grad_norm': 0.3640083372592926, 'learning_rate': 3.959378375932754e-06, 'epoch': 1.37}
{'loss': 2.8928, 'grad_norm': 0.3638635575771332, 'learning_rate': 3.420607046015356e-06, 'epoch': 1.38}
{'loss': 2.8948, 'grad_norm': 0.37240302562713623, 'learning_rate': 2.920586787851931e-06, 'epoch': 1.39}
{'loss': 2.8806, 'grad_norm': 0.367969274520874, 'learning_rate': 2.4595182272728277e-06, 'epoch': 1.4}
{'loss': 2.9421, 'grad_norm': 0.38709506392478943, 'learning_rate': 2.0375863613082304e-06, 'epoch': 1.41}
{'loss': 2.956, 'grad_norm': 0.4171201288700104, 'learning_rate': 1.6549604839608769e-06, 'epoch': 1.42}
{'loss': 2.9449, 'grad_norm': 0.390107661485672, 'learning_rate': 1.3117941182792415e-06, 'epoch': 1.43}
{'loss': 2.9184, 'grad_norm': 0.35544681549072266, 'learning_rate': 1.0082249547587076e-06, 'epoch': 1.44}
{'loss': 2.9202, 'grad_norm': 0.36360350251197815, 'learning_rate': 7.443747960952707e-07, 'epoch': 1.44}
{'loss': 2.9263, 'grad_norm': 0.3853704333305359, 'learning_rate': 5.203495083139331e-07, 'epoch': 1.45}
{'eval_loss': 2.122983932495117, 'eval_chrf++': 43.1321, 'eval_runtime': 118.0992, 'eval_samples_per_second': 8.442, 'eval_steps_per_second': 1.058, 'epoch': 1.45}
{'loss': 2.942, 'grad_norm': 0.3703134059906006, 'learning_rate': 3.362389782915698e-07, 'epoch': 1.46}
{'loss': 2.8879, 'grad_norm': 0.40388405323028564, 'learning_rate': 1.9211707769106746e-07, 'epoch': 1.47}
{'loss': 2.9231, 'grad_norm': 0.401500940322876, 'learning_rate': 8.804163332145621e-08, 'epoch': 1.48}
{'loss': 2.9143, 'grad_norm': 0.3858037292957306, 'learning_rate': 2.4054403935702686e-08, 'epoch': 1.49}
{'loss': 2.905, 'grad_norm': 0.3707962930202484, 'learning_rate': 1.810634756460594e-10, 'epoch': 1.5}
{'train_runtime': 13123.7074, 'train_samples_per_second': 80.508, 'train_steps_per_second': 2.516, 'train_loss': 2.9905100220575043, 'epoch': 1.5}
Job finished at Sun May 10 07:03:39 AM CEST 2026
